Time,Red_light,IR_light,SpO2,SpO2Valid,,,,,,,50 point average,,
1744340814,25,31,73,1,,,,,57.8627451,,57.8627451,,
1744340814,39,37,73,1,,,,,58.07843137,,58.07843137,,
1744340814,30,37,73,1,,,,,58.29411765,,58.29411765,,
1744340814,29,39,32,1,,,,,57.98039216,,57.98039216,,
1744340814,22,31,32,1,,,,,58.47058824,,58.47058824,,
1744340815,34,33,32,1,,,,,58.96078431,,58.96078431,,
1744340815,31,34,32,1,,,,,59.45098039,,59.45098039,,
1744340815,28,37,32,1,,,,,59.94117647,,59.94117647,,
1744340815,26,33,32,1,,,,,60.43137255,,60.43137255,,
1744340815,25,42,32,1,,,,,60.92156863,,60.92156863,,
1744340815,31,38,32,1,,,,,61.41176471,,61.41176471,,
1744340815,28,31,32,1,,,,,61.90196078,,61.90196078,,
1744340815,22,35,32,1,,,,,62.39215686,,62.39215686,,
1744340815,31,38,32,1,,,,,62.88235294,,62.88235294,,
1744340815,25,39,32,1,,,,,63.37254902,,63.37254902,,
1744340816,25,34,32,1,,,,,63.8627451,,63.8627451,,
1744340816,23,36,32,1,,,,,64.35294118,,64.35294118,,
1744340816,32,37,32,1,,,,,64.84313725,,64.84313725,,
1744340816,29,35,32,1,,,,,65.33333333,,65.33333333,,
1744340816,34,33,32,1,,,,,65.82352941,,65.82352941,,
1744340816,29,36,32,1,,,,,66.31372549,,66.31372549,,
1744340816,28,34,32,1,,,,,66.80392157,,66.80392157,,
1744340816,26,38,32,1,,,,,67.29411765,,67.29411765,,
1744340816,26,35,32,1,,,,,67.78431373,,67.78431373,,
1744340816,26,28,32,1,,,,,68.2745098,,68.2745098,,
1744340817,1370,32,32,1,,,,,68.76470588,,68.76470588,,
1744340817,1755,32,32,1,,,,,69.25490196,,69.25490196,,
1744340817,1755,22,32,1,,,,,69.74509804,,69.74509804,,
1744340824,635,38,84,1,,,,,70.68627451,,70.68627451,,
1744340825,635,38,84,1,,,,,70.60784314,,70.60784314,,
1744340825,782,1090,84,1,,,,,70.52941176,,70.52941176,,
1744340825,475,1832,84,1,,,,,70.45098039,,70.45098039,,
1744340825,32,50,84,1,,,,,70.37254902,,70.37254902,,
1744340825,32,50,84,1,,,,,70.29411765,,70.29411765,,
1744340825,36,228,84,1,,,,,70.21568627,,70.21568627,,
1744340825,33,854,84,1,,,,,70.1372549,,70.1372549,,
1744340825,25,134,84,1,,,,,70.05882353,,70.05882353,,
1744340825,27,36,84,1,,,,,69.98039216,,69.98039216,,
1744340825,31,44,84,1,,,,,69.90196078,,69.90196078,,
1744340826,22,41,84,1,,,,,69.82352941,,69.82352941,,
1744340826,23,43,84,1,,,,,69.74509804,,69.74509804,,
1744340826,25,31,84,1,,,,,69.66666667,,69.66666667,,
1744340826,33,30,84,1,,,,,69.58823529,,69.58823529,,
1744340826,33,36,84,1,,,,,69.50980392,,69.50980392,,
1744340826,26,35,84,1,,,,,69.43137255,,69.43137255,,
1744340826,29,37,84,1,,,,,69.35294118,,69.35294118,,
1744340826,23,37,84,1,,,,,69.2745098,,69.2745098,,
1744340826,31,35,84,1,,,,,69.19607843,,69.19607843,,
1744340826,29,27,84,1,,,,,69.11764706,,69.11764706,,
1744340827,25,32,84,1,,,,,69.03921569,,69.03921569,,
1744340827,38,31,84,1,,,,,68.96078431,,68.96078431,,
1744340827,23,33,84,1,,,,,68.88235294,,68.88235294,,
1744340827,23,34,84,1,,,,,68.80392157,,68.80392157,,
1744340827,33,29,57,1,,,,,68.7254902,,68.7254902,,
1744340827,22,39,57,1,,,,,69.17647059,,69.17647059,,
1744340827,25,34,57,1,,,,,69.62745098,,69.62745098,,
1744340827,36,25,57,1,,,,,70.07843137,,70.07843137,,
1744340827,31,35,57,1,,,,,70.52941176,,70.52941176,,
1744340827,32,35,57,1,,,,,70.98039216,,70.98039216,,
1744340828,23,41,57,1,,,,,71.43137255,,71.43137255,,
1744340828,23,39,57,1,,,,,71.88235294,,71.88235294,,
1744340828,25,29,57,1,,,,,72.33333333,,72.33333333,,
1744340828,25,25,57,1,,,,,72.78431373,,72.78431373,,
1744340828,25,37,57,1,,,,,73.23529412,,73.23529412,,
1744340828,1056,33,57,1,,,,,73.68627451,,73.68627451,,
1744340828,1816,40,57,1,,,,,74.1372549,,74.1372549,,
1744340828,32,33,57,1,,,,,74.58823529,,74.58823529,,
1744340828,32,33,57,1,,,,,75.03921569,,75.03921569,,
1744340828,279,33,57,1,,,,,75.49019608,,75.49019608,,
1744340829,822,1586,57,1,,,,,75.94117647,,75.94117647,,
1744340829,112,650,57,1,,,,,76.39215686,,76.39215686,,
1744340829,30,650,57,1,,,,,76.84313725,,76.84313725,,
1744340829,29,650,57,1,,,,,77.29411765,,77.29411765,,
1744340829,28,454,57,1,,,,,77.74509804,,77.74509804,,
1744340829,28,529,57,1,,,,,78.19607843,,78.19607843,,
1744340829,33,100,57,1,,,,,78.64705882,,78.64705882,,
1744340829,22,33,57,1,,,,,79.09803922,,79.09803922,,
1744340829,25,34,57,1,,,,,79.54901961,,79.54901961,,
1744340829,28,34,80,1,,,,,79.94117647,,79.94117647,,
1744340830,24,30,80,1,,,,,79.88235294,,79.88235294,,
1744340830,32,31,80,1,,,,,79.82352941,,79.82352941,,
1744340830,25,28,80,1,,,,,79.76470588,,79.76470588,,
1744340830,31,40,80,1,,,,,79.70588235,,79.70588235,,
1744340830,22,36,80,1,,,,,79.64705882,,79.64705882,,
1744340830,24,34,80,1,,,,,79.58823529,,79.58823529,,
1744340830,19,37,80,1,,,,,79.52941176,,79.52941176,,
1744340830,25,24,80,1,,,,,79.47058824,,79.47058824,,
1744340830,30,30,80,1,,,,,79.41176471,,79.41176471,,
1744340830,31,34,80,1,,,,,79.35294118,,79.35294118,,
1744340831,35,37,80,1,,,,,79.29411765,,79.29411765,,
1744340831,30,41,80,1,,,,,79.23529412,,79.23529412,,
1744340831,25,36,80,1,,,,,79.17647059,,79.17647059,,
1744340831,20,30,80,1,,,,,79.11764706,,79.11764706,,
1744340831,28,36,80,1,,,,,79.05882353,,79.05882353,,
1744340831,30,29,80,1,,,,,79,,79,,
1744340831,32,39,80,1,,,,,78.94117647,,78.94117647,,
1744340831,32,32,80,1,,,,,78.88235294,,78.88235294,,
1744340831,17,37,80,1,,,,,78.82352941,,78.82352941,,
1744340831,25,37,80,1,,,,,78.76470588,,78.76470588,,
1744340832,25,34,80,1,,,,,78.70588235,,78.70588235,,
1744340832,37,25,80,1,,,,,78.64705882,,78.64705882,,
1744340832,37,34,80,1,,,,,78.58823529,,78.58823529,,
1744340832,37,33,80,1,,,,,78.52941176,,78.52941176,,
1744340832,897,22,80,1,,,,,78.52941176,,78.52941176,,
1744340832,1233,36,80,1,,,,,78.52941176,,78.52941176,,
1744340832,143,37,80,1,,,,,78.52941176,,78.52941176,,
1744340832,143,37,80,1,,,,,78.52941176,,78.52941176,,
1744340832,24,37,80,1,,,,,78.52941176,,78.52941176,,
1744340832,791,1700,80,1,,,,,78.52941176,,78.52941176,,
1744340833,243,1156,80,1,,,,,78.52941176,,78.52941176,,
1744340833,37,1156,80,1,,,,,78.52941176,,78.52941176,,
1744340833,33,1156,80,1,,,,,78.52941176,,78.52941176,,
1744340833,24,461,80,1,,,,,78.52941176,,78.52941176,,
1744340833,29,799,80,1,,,,,78.52941176,,78.52941176,,
