Time,Red_light,IR_light,SpO2,SpO2Valid,,,,,,,,,50 point average,,
1744341592,28,34,75,1,,,57.94117647,,,,,,57.94117647,,
1744341593,28,33,75,1,,,58.03921569,,,,,,58.03921569,,
1744341593,28,35,75,1,,,58.1372549,,,,,,58.1372549,,
1744341593,1919,36,75,1,,,58.23529412,,,,,,58.23529412,,
1744341593,2441,36,75,1,,,58.33333333,,,,,,58.33333333,,
1744341593,29,38,75,1,,,58.43137255,,,,,,58.43137255,,
1744341593,29,38,75,1,,,58.52941176,,,,,,58.52941176,,
1744341593,297,38,75,1,,,58.62745098,,,,,,58.62745098,,
1744341593,1011,2203,75,1,,,58.7254902,,,,,,58.7254902,,
1744341593,174,1175,75,1,,,58.82352941,,,,,,58.82352941,,
1744341593,40,1175,75,1,,,58.92156863,,,,,,58.92156863,,
1744341594,32,1175,75,1,,,59.01960784,,,,,,59.01960784,,
1744341594,32,437,75,1,,,59.11764706,,,,,,59.11764706,,
1744341594,28,710,75,1,,,59.21568627,,,,,,59.21568627,,
1744341594,24,122,75,1,,,59.31372549,,,,,,59.31372549,,
1744341596,18,35,38,1,,,59.62745098,,,,,,59.62745098,,
1744341597,18,39,38,1,,,60.66666667,,,,,,60.66666667,,
1744341597,18,38,38,1,,,61.70588235,,,,,,61.70588235,,
1744341597,2650,38,38,1,,,62.74509804,,,,,,62.74509804,,
1744341597,1470,33,38,1,,,63.78431373,,,,,,63.78431373,,
1744341597,1470,33,38,1,,,64.82352941,,,,,,64.82352941,,
1744341597,1470,33,38,1,,,65.8627451,,,,,,65.8627451,,
1744341597,690,491,38,1,,,66.90196078,,,,,,66.90196078,,
1744341597,882,2728,38,1,,,67.94117647,,,,,,67.94117647,,
1744341597,54,540,38,1,,,68.98039216,,,,,,68.98039216,,
1744341598,28,540,38,1,,,70.01960784,,,,,,70.01960784,,
1744341598,30,540,38,1,,,71.05882353,,,,,,71.05882353,,
1744341598,21,670,38,1,,,72.09803922,,,,,,72.09803922,,
1744341598,27,545,38,1,,,73.1372549,,,,,,73.1372549,,
1744341598,22,84,38,1,,,74.17647059,,,,,,74.17647059,,
1744341598,32,28,38,1,,,75.21568627,,,,,,75.21568627,,
1744341598,30,24,38,1,,,76.25490196,,,,,,76.25490196,,
1744341598,29,35,38,1,,,77.29411765,,,,,,77.29411765,,
1744341598,26,32,38,1,,,78.33333333,,,,,,78.33333333,,
1744341598,36,37,38,1,,,79.37254902,,,,,,79.37254902,,
