Time,Red_light,IR_light,SpO2,SpO2Valid,,,,,50 point average,,
1744344063,2946,37,53,1,,,66.39215686,,66.39215686,,
1744344063,601,30,53,1,,,66.7254902,,66.7254902,,
1744344063,601,30,64,1,,,67.23529412,,67.23529412,,
1744344063,601,30,64,1,,,67.52941176,,67.52941176,,
1744344063,678,695,64,1,,,67.82352941,,67.82352941,,
1744344063,387,2466,64,1,,,68.11764706,,68.11764706,,
1744344063,43,380,64,1,,,68.41176471,,68.41176471,,
1744344064,16,380,64,1,,,68.70588235,,68.70588235,,
1744344064,22,29,64,1,,,69,,69,,
1744344064,24,910,64,1,,,69.29411765,,69.29411765,,
1744344064,25,257,64,1,,,69.58823529,,69.58823529,,
1744344064,18,33,64,1,,,69.88235294,,69.88235294,,
1744344064,28,27,64,1,,,70.17647059,,70.17647059,,
1744344064,36,29,64,1,,,70.47058824,,70.47058824,,
1744344064,27,33,64,1,,,70.76470588,,70.76470588,,
1744344064,27,36,64,1,,,71.05882353,,71.05882353,,
1744344064,30,37,64,1,,,71.35294118,,71.35294118,,
1744344065,20,36,64,1,,,71.64705882,,71.64705882,,
1744344065,23,34,64,1,,,71.94117647,,71.94117647,,
1744344065,31,35,64,1,,,72.23529412,,72.23529412,,
1744344065,27,31,64,1,,,72.52941176,,72.52941176,,
1744344065,26,30,64,1,,,72.82352941,,72.82352941,,
1744344065,37,34,64,1,,,73.11764706,,73.11764706,,
1744344065,31,36,64,1,,,73.41176471,,73.41176471,,
1744344065,22,39,64,1,,,73.70588235,,73.70588235,,
1744344065,18,41,64,1,,,74,,74,,
1744344065,25,37,64,1,,,74.29411765,,74.29411765,,
1744344066,31,27,70,1,,,74.50980392,,74.50980392,,
1744344066,22,32,70,1,,,74.60784314,,74.60784314,,
1744344066,31,31,70,1,,,74.70588235,,74.70588235,,
1744344066,37,33,70,1,,,74.80392157,,74.80392157,,
1744344066,28,39,70,1,,,74.90196078,,74.90196078,,
1744344066,25,40,70,1,,,75,,75,,
1744344066,29,35,70,1,,,75.09803922,,75.09803922,,
1744344066,33,31,70,1,,,75.19607843,,75.19607843,,
1744344066,33,35,70,1,,,75.29411765,,75.29411765,,
1744344066,29,37,70,1,,,75.39215686,,75.39215686,,
1744344067,29,38,70,1,,,75.49019608,,75.49019608,,
1744344067,29,32,70,1,,,75.58823529,,75.58823529,,
1744344067,2765,31,70,1,,,75.68627451,,75.68627451,,
1744344067,1755,31,70,1,,,75.78431373,,75.78431373,,
1744344067,1755,9,70,1,,,75.88235294,,75.88235294,,
1744344067,1755,9,70,1,,,75.98039216,,75.98039216,,
1744344067,639,532,70,1,,,76.07843137,,76.07843137,,
1744344067,804,2974,70,1,,,76.17647059,,76.17647059,,
1744344067,52,556,70,1,,,76.2745098,,76.2745098,,
1744344067,32,556,70,1,,,76.37254902,,76.37254902,,
1744344068,30,556,70,1,,,76.47058824,,76.47058824,,
1744344068,39,670,70,1,,,76.56862745,,76.56862745,,
1744344068,38,438,70,1,,,76.66666667,,76.66666667,,
1744344068,33,61,70,1,,,76.76470588,,76.76470588,,
1744344068,32,30,70,1,,,76.8627451,,76.8627451,,
1744344068,23,36,79,1,,,76.8627451,,76.8627451,,
1744344068,29,40,79,1,,,76.68627451,,76.68627451,,
1744344068,23,39,79,1,,,76.50980392,,76.50980392,,
1744344068,22,35,79,1,,,76.33333333,,76.33333333,,
1744344068,26,36,79,1,,,76.15686275,,76.15686275,,
1744344069,25,33,79,1,,,75.98039216,,75.98039216,,
1744344069,27,37,79,1,,,75.80392157,,75.80392157,,
1744344069,29,36,79,1,,,75.62745098,,75.62745098,,
1744344069,19,35,79,1,,,75.45098039,,75.45098039,,
1744344069,28,34,79,1,,,75.2745098,,75.2745098,,
1744344069,26,28,79,1,,,75.09803922,,75.09803922,,
1744344069,32,27,79,1,,,74.92156863,,74.92156863,,
1744344069,30,33,79,1,,,74.74509804,,74.74509804,,
1744344069,29,34,79,1,,,74.56862745,,74.56862745,,
1744344069,25,37,79,1,,,74.39215686,,74.39215686,,
1744344070,30,39,79,1,,,74.21568627,,74.21568627,,
1744344070,26,45,79,1,,,74.03921569,,74.03921569,,
1744344070,28,32,79,1,,,73.8627451,,73.8627451,,
1744344070,24,32,79,1,,,73.68627451,,73.68627451,,
1744344070,32,37,79,1,,,73.50980392,,73.50980392,,
1744344070,31,35,79,1,,,73.33333333,,73.33333333,,
1744344070,29,37,79,1,,,73.15686275,,73.15686275,,
1744344070,24,34,79,1,,,72.98039216,,72.98039216,,
1744344070,31,39,79,1,,,72.80392157,,72.80392157,,
1744344070,25,30,79,1,,,72.62745098,,72.62745098,,
1744344071,25,33,75,1,,,72.41176471,,72.41176471,,
1744344071,25,29,75,1,,,72.2745098,,72.2745098,,
1744344071,2988,38,75,1,,,72.1372549,,72.1372549,,
1744344071,1228,36,75,1,,,72,,72,,
1744344071,1228,36,75,1,,,71.8627451,,71.8627451,,
1744344071,1228,36,75,1,,,71.7254902,,71.7254902,,
1744344071,704,969,75,1,,,71.58823529,,71.58823529,,
1744344071,728,3009,75,1,,,71.45098039,,71.45098039,,
1744344071,50,458,75,1,,,71.31372549,,71.31372549,,
1744344071,29,458,75,1,,,71.17647059,,71.17647059,,
1744344072,35,458,75,1,,,71.03921569,,71.03921569,,
1744344072,33,752,75,1,,,70.90196078,,70.90196078,,
1744344072,21,343,75,1,,,70.76470588,,70.76470588,,
1744344072,33,47,75,1,,,70.62745098,,70.62745098,,
1744344072,31,38,75,1,,,70.49019608,,70.49019608,,
1744344072,21,33,75,1,,,70.35294118,,70.35294118,,
1744344072,20,34,75,1,,,70.21568627,,70.21568627,,
1744344072,23,35,75,1,,,70.07843137,,70.07843137,,
1744344072,32,34,75,1,,,69.94117647,,69.94117647,,
1744344072,29,34,75,1,,,69.80392157,,69.80392157,,
1744344073,24,36,75,1,,,69.66666667,,69.66666667,,
1744344073,23,32,75,1,,,69.52941176,,69.52941176,,
1744344073,24,34,75,1,,,69.39215686,,69.39215686,,
1744344073,23,29,75,1,,,69.25490196,,69.25490196,,
1744344073,35,31,75,1,,,69.11764706,,69.11764706,,
1744344073,26,30,70,1,,,68.98039216,,68.98039216,,
1744344073,30,35,70,1,,,68.94117647,,68.94117647,,
1744344073,31,31,70,1,,,68.90196078,,68.90196078,,
1744344073,27,31,70,1,,,68.8627451,,68.8627451,,
1744344073,31,37,70,1,,,68.82352941,,68.82352941,,
1744344074,26,40,70,1,,,68.78431373,,68.78431373,,
1744344074,24,30,70,1,,,68.74509804,,68.74509804,,
1744344074,29,26,70,1,,,68.70588235,,68.70588235,,
1744344074,28,25,70,1,,,68.66666667,,68.66666667,,
1744344074,29,34,70,1,,,68.62745098,,68.62745098,,
1744344074,21,34,70,1,,,68.58823529,,68.58823529,,
1744344074,21,36,70,1,,,68.54901961,,68.54901961,,
1744344074,25,33,70,1,,,68.50980392,,68.50980392,,
1744344074,31,27,70,1,,,68.47058824,,68.47058824,,
1744344074,31,29,70,1,,,68.43137255,,68.43137255,,
1744344075,31,33,70,1,,,68.39215686,,68.39215686,,
1744344075,1684,38,70,1,,,68.35294118,,68.35294118,,
1744344075,1807,33,70,1,,,68.31372549,,68.31372549,,
1744344075,203,30,70,1,,,68.2745098,,68.2745098,,
1744344075,203,30,70,1,,,68.23529412,,68.23529412,,
1744344075,63,30,70,1,,,68.19607843,,68.19607843,,
1744344075,849,2803,70,1,,,68.15686275,,68.15686275,,
1744344075,229,1657,70,1,,,68.11764706,,68.11764706,,
1744344075,30,1657,70,1,,,68.07843137,,68.07843137,,
1744344075,15,1657,70,1,,,68.03921569,,68.03921569,,
1744344076,30,628,68,1,,,67.41176471,,67.41176471,,
1744344076,34,759,68,1,,,66.82352941,,66.82352941,,
1744344076,29,50,68,1,,,66.23529412,,66.23529412,,
1744344076,31,29,68,1,,,65.64705882,,65.64705882,,
1744344076,31,36,68,1,,,65.05882353,,65.05882353,,
1744344076,29,31,68,1,,,64.47058824,,64.47058824,,
